#;Company;Symbol;Weight;      Price;Chg;% Chg
86;Altria Group Inc;MO;0,245871;50,97;0;0,00%
87;Booking Holdings Inc.;BKNG;0,244947;   2,300,46;-3,99;(-0,17%)
88;Anthem Inc.;ANTM;0,243801;378,73;0;0,00%
89;Gilead Sciences Inc.;GILD;0,236302;72,34;0,38;-0,53%
90;Stryker Corporation;SYK;0,236273;277,68;1,03;-0,37%
91;Automatic Data Processing Inc.;ADP;0,228757;206,47;-0,91;(-0,44%)
92;Lockheed Martin Corporation;LMT;0,227998;356;0;0,00%
93;Analog Devices Inc.;ADI;0,227382;162,25;-0,19;(-0,12%)
94;Mondelez International Inc. Class A;MDLZ;0,22641;61,72;0;0,00%
95;TJX Companies Inc;TJX;0,225649;71,07;0;0,00%
96;Lam Research Corporation;LRCX;0,223685;610;-0,71;(-0,12%)
97;Crown Castle International Corp;CCI;0,221913;198,5;0;0,00%
98;Micron Technology Inc.;MU;0,216015;73,81;0;0,00%
99;Chubb Limited;CB;0,2142;183,46;0;0,00%
100;Duke Energy Corporation;DUK;0,213116;105,68;0;0,00%
101;PNC Financial Services Group Inc.;PNC;0,211344;191,5;-0,02;(-0,01%)
102;Marsh & McLennan Companies Inc.;MMC;0,210575;159,5;0;0,00%
103;Estee Lauder Companies Inc. Class A;EL;0,207718;341,83;0;0,00%
104;T-Mobile US Inc.;TMUS;0,207691;136;0;0,00%
105;Fidelity National Information Services Inc.;FIS;0,204838;125,39;0;0,00%
106;Equinix Inc.;EQIX;0,203979;806,76;-76,07;(-8,62%)
107;U.S. Bancorp;USB;0,199191;56,15;0;0,00%
108;ConocoPhillips;COP;0,198809;56,24;0;0,00%
109;Truist Financial Corporation;TFC;0,198214;56,45;0;0,00%
110;Edwards Lifesciences Corporation;EW;0,195158;121,07;0;0,00%
111;Cigna Corporation;CI;0,194945;216,92;0;0,00%
112;CSX Corporation;CSX;0,192715;32;0;0,00%
113;Becton Dickinson and Company;BDX;0,192673;257,83;0;0,00%
114;Sherwin-Williams Company;SHW;0,192371;307,43;0;0,00%
115;Capital One Financial Corporation;COF;0,188136;157,26;0;0,00%
116;CME Group Inc. Class A;CME;0,184446;195,3;0;0,00%
117;Regeneron Pharmaceuticals Inc.;REGN;0,184172;679,62;0,05;-0,01%
118;Southern Company;SO;0,183595;66,27;0;0,00%
119;Fiserv Inc.;FISV;0,179356;115,51;-0,15;(-0,13%)
120;Illumina Inc.;ILMN;0,178195;469,54;2,56;-0,55%
121;Intercontinental Exchange Inc.;ICE;0,176271;121,13;0;0,00%
122;Eaton Corp. Plc;ETN;0,174107;166,3;-0,08;(-0,05%)
123;HCA Healthcare Inc;HCA;0,173294;252,95;0;0,00%
124;Colgate-Palmolive Company;CL;0,173151;77,91;0;0,00%
125;Illinois Tool Works Inc.;ITW;0,173082;231,12;2,59;-1,14%
126;Aon Plc Class A;AON;0,170804;291,43;0;0,00%
127;FedEx Corporation;FDX;0,16976;266,04;0;0,00%
128;Boston Scientific Corporation;BSX;0,166117;44,92;0;0,00%
129;Norfolk Southern Corporation;NSC;0,165238;250,4;0;0,00%
130;Dominion Energy Inc;D;0,165193;78,38;0;0,00%
131;Emerson Electric Co.;EMR;0,164969;105,38;0;0,00%
132;Autodesk Inc.;ADSK;0,164426;288,75;0;0,00%
133;Activision Blizzard Inc.;ATVI;0,163785;81,3;0,12;-0,15%
134;General Motors Company;GM;0,162686;48,82;0;0,00%
135;Moody's Corporation;MCO;0,161444;385,39;0;0,00%
136;Waste Management Inc.;WM;0,157758;155,4;0;0,00%
137;Air Products and Chemicals Inc.;APD;0,155272;268,28;0;0,00%
138;IDEXX Laboratories Inc.;IDXX;0,152284;685,44;-2,89;(-0,42%)
139;NXP Semiconductors NV;NXPI;0,152101;211,93;-1,06;(-0,50%)
140;Ecolab Inc.;ECL;0,146795;225,14;0;0,00%
141;Progressive Corporation;PGR;0,146679;96,23;0;0,00%
142;Northrop Grumman Corporation;NOC;0,143526;365,93;0;0,00%
143;Agilent Technologies Inc.;A;0,140607;179,28;0;0,00%
144;Johnson Controls International plc;JCI;0,140126;75,02;0;0,00%
145;Humana Inc.;HUM;0,139498;415,56;0;0,00%
146;MSCI Inc. Class A;MSCI;0,139466;650,75;0;0,00%
147;Chipotle Mexican Grill Inc.;CMG;0,139304;   1,920,01;0;0,00%
148;Dollar General Corporation;DG;0,138334;222,45;0;0,00%
149;Freeport-McMoRan Inc.;FCX;0,137515;36,14;0;0,00%
150;Align Technology Inc.;ALGN;0,136509;725,34;3,84;-0,53%
151;DexCom Inc.;DXCM;0,135038;542,3;-0,13;(-0,02%)
152;KLA Corporation;KLAC;0,134745;340,32;-1,43;(-0,42%)
153;Vertex Pharmaceuticals Incorporated;VRTX;0,13424;198;-0,05;(-0,03%)
154;Twitter Inc.;TWTR;0,13411;64,6;-0,06;(-0,09%)
155;Synopsys Inc.;SNPS;0,133873;336,01;-0,63;(-0,19%)
156;Roper Technologies Inc.;ROP;0,132745;486,22;0;0,00%
